"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.27291882157203,0.957,0.257,0,"0","PLXDC2"
0,2.45132474388141,0.94,0.26,0,"0","AIF1"
0,1.70418597599039,0.921,0.25,0,"0","CD68"
0,2.13338070651668,0.956,0.288,0,"0","FCER1G"
0,2.22887589071011,0.916,0.25,0,"0","SLC8A1"
0,1.82878224818555,0.913,0.248,0,"0","FCGR2A"
0,2.25368559328868,0.938,0.282,0,"0","OLR1"
0,2.41614398347938,0.901,0.249,0,"0","LST1"
0,2.14835398304278,0.871,0.226,0,"0","SERPINA1"
0,2.26138189127787,0.876,0.232,0,"0","ITGAX"
0,2.06270612062734,0.976,0.338,0,"0","TYROBP"
0,2.29127724277187,0.83,0.197,0,"0","CLEC7A"
0,2.23353864692654,0.837,0.214,0,"0","SLC11A1"
0,1.96648904593825,0.921,0.302,0,"0","RAB31"
0,2.11690356689043,0.975,0.358,0,"0","DOCK4"
0,1.81721709121809,0.885,0.268,0,"0","LRMDA"
0,1.98445545772689,0.853,0.237,0,"0","SPI1"
0,2.17394375011651,0.97,0.357,0,"0","PLAUR"
0,2.29129196686739,0.815,0.206,0,"0","EPB41L3"
0,1.98165591748837,0.911,0.307,0,"0","ETS2"
0,2.88677063812652,0.845,0.243,0,"0","S100A9"
0,2.08509361917132,0.844,0.242,0,"0","EMILIN2"
0,2.0438488194008,0.838,0.241,0,"0","MCTP1"
0,2.23796713833341,0.817,0.221,0,"0","C5AR1"
0,2.22256074072371,0.868,0.273,0,"0","FGD4"
0,1.90194362642234,0.941,0.35,0,"0","MGAT1"
0,2.08621676697223,0.83,0.241,0,"0","CD86"
0,1.6835856536549,0.798,0.214,0,"0","CD14"
0,2.20222777519379,0.862,0.279,0,"0","VEGFA"
0,2.05567937818836,0.833,0.251,0,"0","C1orf162"
0,1.89302914504717,0.894,0.317,0,"0","PLEK"
0,2.18426550954635,0.749,0.176,0,"0","NCF2"
0,1.76652674738788,0.894,0.321,0,"0","FNIP2"
0,1.78889941727773,0.909,0.337,0,"0","KYNU"
0,2.02307775770058,0.79,0.219,0,"0","MS4A6A"
0,2.21874311981162,0.758,0.188,0,"0","IGSF6"
0,2.64035316895654,0.704,0.136,0,"0","CSTA"
0,2.26185004814158,0.969,0.402,0,"0","CST3"
0,1.9670903231723,0.774,0.211,0,"0","RAB20"
0,2.0431880155749,0.876,0.314,0,"0","CEBPD"
0,1.9119748262227,0.77,0.21,0,"0","TGFBI"
0,1.87820096965429,0.86,0.303,0,"0","KLF4"
0,2.82834098779828,0.685,0.13,0,"0","TREM1"
0,1.80534249783368,0.766,0.211,0,"0","CXCL16"
0,2.42487275102038,0.85,0.295,0,"0","C15orf48"
0,1.97044511757394,0.857,0.304,0,"0","SLC16A10"
0,2.26903730952331,0.845,0.298,0,"0","PPIF"
0,2.22095291888647,0.759,0.214,0,"0","HBEGF"
0,2.10168743363335,0.978,0.439,0,"0","IFI30"
0,2.48847754705301,0.688,0.151,0,"0","AC020656.1"
0,2.81713431245787,0.664,0.129,0,"0","FPR1"
0,2.33340864241305,0.708,0.173,0,"0","CSF2RA"
0,3.06879959269909,0.682,0.148,0,"0","S100A8"
0,2.41094989717734,0.709,0.175,0,"0","CPVL"
0,2.21127581227874,0.737,0.206,0,"0","IRAK3"
0,2.57346732869175,0.907,0.38,0,"0","TIMP1"
0,2.24216055994462,0.718,0.192,0,"0","MNDA"
0,1.79948527862748,0.926,0.4,0,"0","UPP1"
0,2.34463019506493,0.957,0.435,0,"0","LYZ"
0,3.20241646486794,0.65,0.13,0,"0","VCAN"
0,1.79519156339962,0.909,0.39,0,"0","GSTO1"
0,2.7868643229461,0.668,0.154,0,"0","EREG"
0,1.7580812967658,0.93,0.417,0,"0","NPC2"
0,1.6698557948493,0.95,0.437,0,"0","TYMP"
0,2.22171612439924,0.663,0.158,0,"0","TLR2"
0,2.14408140522774,0.649,0.149,0,"0","FGR"
0,3.18549643713737,0.583,0.085,0,"0","PID1"
0,1.64979757470418,0.968,0.488,0,"0","ANXA5"
0,2.54086755228419,0.624,0.146,0,"0","IL1RN"
0,2.43376552041857,0.603,0.132,0,"0","SMIM25"
0,3.6471773002329,0.517,0.06,0,"0","FCN1"
0,2.64581179310557,0.559,0.113,0,"0","CSF3R"
0,2.79296097406773,0.54,0.1,0,"0","CLEC5A"
0,1.65495260551998,0.977,0.669,0,"0","S100A11"
0,1.60336310216616,0.999,0.983,0,"0","FTH1"
2.51973479379036e-321,1.71263998668038,0.961,0.522,7.77842130843083e-317,"0","CEBPB"
2.56914135837448e-321,1.82854161535322,0.792,0.241,7.93093937330203e-317,"0","MAFB"
1.13733911672655e-320,2.22409395667759,0.68,0.181,3.51096585333486e-316,"0","CD109"
6.06811426222219e-319,2.42492964653448,0.702,0.197,1.87322687274799e-314,"0","IL1B"
4.37650266005218e-318,2.21842441050104,0.687,0.183,1.35102637115811e-313,"0","THBD"
1.53130311019519e-317,1.62382728021293,0.902,0.331,4.72713270117256e-313,"0","RBM47"
1.74961342679484e-316,1.66678696095257,0.937,0.461,5.40105664851566e-312,"0","BRI3"
1.63759860863183e-314,1.38850090893082,0.977,0.519,5.05526690484647e-310,"0","PSAP"
1.73395727994755e-314,1.85636099164726,0.805,0.258,5.3527261231981e-310,"0","PTPRE"
6.40894583871289e-312,1.78226135103305,0.816,0.265,1.97844158041067e-307,"0","ATP6V1B2"
1.31594178425315e-310,1.30408636967159,1,0.987,4.06231228798947e-306,"0","FTL"
1.00336337912807e-309,2.01856167506575,0.659,0.165,3.09738275136834e-305,"0","CSF1R"
2.25059176514603e-308,1.42044302094224,0.963,0.459,6.94757677900579e-304,"0","CTSB"
1.60728740935189e-307,2.10476217309184,0.679,0.182,4.96169623266928e-303,"0","FGL2"
2.14868121724499e-307,1.72545289120239,0.98,0.699,6.63297891763529e-303,"0","SOD2"
8.05777880452335e-305,2.20798186707282,0.707,0.208,2.48743631695636e-300,"0","SLC43A2"
8.66523866718116e-304,2.52622410177496,0.552,0.119,2.67495917655883e-299,"0","ANPEP"
3.70455955723234e-302,1.54070634615077,0.95,0.483,1.14359753531762e-297,"0","CTSS"
4.16474738437447e-302,1.62207911393199,0.765,0.217,1.2856575175564e-297,"0","MS4A7"
