"Var1","Var2","Freq"
"Donor1","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",64
"Donor2","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",99
"Donor3","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",120
"Donor4","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",64
"Donor5","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",132
"Donor6","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",127
"Donor7","Activated CD4 / Treg-like (TNFRSF4/TNFRSF18/CTLA4/ICOS/IL2RA+)",106
"Donor1","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",64
"Donor2","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",89
"Donor3","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",78
"Donor4","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",64
"Donor5","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",109
"Donor6","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",63
"Donor7","Activated T (TNFRSF4/BATF/ICOS/LEF1+)",67
"Donor1","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",18
"Donor2","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",41
"Donor3","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",81
"Donor4","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",299
"Donor5","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",20
"Donor6","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",46
"Donor7","Activated/Class-switched B (IGHA1/TNFRSF13B/C+)",101
"Donor1","B cells (BANK1/BLK/VPREB3+ subset)",3
"Donor2","B cells (BANK1/BLK/VPREB3+ subset)",22
"Donor3","B cells (BANK1/BLK/VPREB3+ subset)",43
"Donor4","B cells (BANK1/BLK/VPREB3+ subset)",172
"Donor5","B cells (BANK1/BLK/VPREB3+ subset)",11
"Donor6","B cells (BANK1/BLK/VPREB3+ subset)",18
"Donor7","B cells (BANK1/BLK/VPREB3+ subset)",39
"Donor1","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",12
"Donor2","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",41
"Donor3","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",118
"Donor4","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",510
"Donor5","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",25
"Donor6","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",88
"Donor7","B cells (FCRL/BANK1/MS4A1/EBF1+; memory-like)",115
"Donor1","CXCL13+ CD4 T (CXCL13/TOX2+; TLS-like)",115
"Donor2","CXCL13+ CD4 T (CXCL13/TOX2+; TLS-like)",197
"Donor3","CXCL13+ CD4 T (CXCL13/TOX2+; TLS-like)",68
