"program","compartment","n_cells","p_kw"
"IFN_ISG_score","Myeloid",651,1.26809779949214e-08
"CYTOTOXICITY_score","Myeloid",651,3.27076849237269e-06
"INFLAM_MYELOID_score","Myeloid",651,5.65363731669201e-05
"TAM_MACRO_score","Myeloid",651,0.000354642056208776
"CYTOTOXICITY_score","T_cells",66,0.00332603547652462
"IFN_ISG_score","T_cells",66,0.102477606825026
"EXHAUSTION_score","Myeloid",651,0.269364708079963
"INFLAM_MYELOID_score","T_cells",66,0.424225529677136
"EXHAUSTION_score","T_cells",66,0.589313459372762
"TAM_MACRO_score","T_cells",66,0.806797460877118
