"program","compartment","n_cells","p_kw","donor_high","donor_low","med_high","med_low","effect_range","neglog10p"
"IFN_ISG","Myeloid",651,1.26809779949214e-08,"Donor5","Donor7",0.0551708945391375,-0.124182918060455,0.179353812599592,7.89684725107426
"CYTOTOXICITY","Myeloid",651,3.27076849237269e-06,"Donor2","Donor5",-0.143959030013665,-0.248235368221488,0.104276338207823,5.48535019450027
"INFLAM_MYELOID","Myeloid",651,5.65363731669201e-05,"Donor3","Donor7",1.09093922829851,0.50693557262794,0.584003655670568,4.24767205513398
"TAM_MACRO","Myeloid",651,0.00035464205620877,"Donor1","Donor3",1.28865720876502,0.797518190075254,0.491139018689768,3.45020976366921
"CYTOTOXICITY","T_cells",66,0.00332603547652462,"Donor1","Donor4",-0.16901888771536,-0.284751871483802,0.115732983768442,2.47807312277233
"IFN_ISG","T_cells",66,0.102477606825026,"Donor2","Donor4",-0.048825829880925,-0.146488503771632,0.0976626738907065,0.989371025289339
"EXHAUSTION","Myeloid",651,0.269364708079963,"Donor1","Donor2",-0.132922570202774,-0.155525874571842,0.0226033043690675,0.569659305755403
"INFLAM_MYELOID","T_cells",66,0.424225529677136,"Donor5","Donor2",-0.322919058998706,-0.559485469860272,0.236566410861565,0.372403199411439
"EXHAUSTION","T_cells",66,0.589313459372762,"Donor1","Donor4",0.0477432700926275,-0.163124897083839,0.210868167176466,0.229653639908467
"TAM_MACRO","T_cells",66,0.806797460877118,"Donor5","Donor2",-0.362598108407346,-0.501381345504232,0.138783237096886,0.0932354772525193
