"program","compartment","n_cells","p_kw"
"IFN_ISG","Myeloid",651,1.26809779949214e-08
"CYTOTOXICITY","Myeloid",651,3.27076849237269e-06
"INFLAM_MYELOID","Myeloid",651,5.65363731669201e-05
"TAM_MACRO","Myeloid",651,0.000354642056208776
"CYTOTOXICITY","T_cells",64,0.00470274795565172
"doublet","Myeloid",651,0.0264018917973562
"IFN_ISG","T_cells",64,0.190332373351973
"EXHAUSTION","Myeloid",651,0.269364708079963
"INFLAM_MYELOID","T_cells",64,0.341291094818034
"EXHAUSTION","T_cells",64,0.464585626513894
"doublet","T_cells",64,0.482550067227084
"TAM_MACRO","T_cells",64,0.844603174830857
